"","date","location_key","new_confirmed","new_deceased","new_recovered","new_tested","cumulative_confirmed","cumulative_deceased","cumulative_recovered","cumulative_tested"
"1",2020-03-14,"US_LA_22015",NA,NA,NA,NA,1,0,NA,NA
"2",2020-03-15,"US_LA_22015",0,0,NA,NA,1,0,NA,NA
"3",2020-03-16,"US_LA_22015",0,0,NA,NA,1,0,NA,NA
"4",2020-03-17,"US_LA_22015",0,0,NA,NA,1,0,NA,NA
"5",2020-03-18,"US_LA_22015",1,0,NA,NA,2,0,NA,NA
"6",2020-03-19,"US_LA_22015",2,0,NA,NA,4,0,NA,NA
"7",2020-03-20,"US_LA_22015",1,0,NA,NA,5,0,NA,NA
"8",2020-03-21,"US_LA_22015",0,0,NA,NA,5,0,NA,NA
"9",2020-03-22,"US_LA_22015",0,0,NA,NA,5,0,NA,NA
"10",2020-03-23,"US_LA_22015",7,0,NA,NA,12,0,NA,NA
"11",2020-03-24,"US_LA_22015",0,0,NA,NA,12,0,NA,NA
"12",2020-03-25,"US_LA_22015",13,0,NA,NA,25,0,NA,NA
"13",2020-03-26,"US_LA_22015",7,0,NA,NA,32,0,NA,NA
"14",2020-03-27,"US_LA_22015",5,0,NA,NA,37,0,NA,NA
"15",2020-03-28,"US_LA_22015",8,0,NA,NA,45,0,NA,NA
"16",2020-03-29,"US_LA_22015",11,0,NA,NA,56,0,NA,NA
"17",2020-03-30,"US_LA_22015",1,0,NA,NA,57,0,NA,NA
"18",2020-03-31,"US_LA_22015",6,1,NA,NA,63,1,NA,NA
"19",2020-04-01,"US_LA_22015",12,0,NA,NA,75,1,NA,NA
"20",2020-04-02,"US_LA_22015",12,1,NA,NA,87,2,NA,NA
"21",2020-04-03,"US_LA_22015",8,0,NA,NA,95,2,NA,NA
"22",2020-04-04,"US_LA_22015",31,0,NA,NA,126,2,NA,NA
"23",2020-04-05,"US_LA_22015",7,1,NA,NA,133,3,NA,NA
"24",2020-04-06,"US_LA_22015",6,0,NA,NA,139,3,NA,NA
"25",2020-04-07,"US_LA_22015",7,1,NA,NA,146,4,NA,NA
"26",2020-04-08,"US_LA_22015",13,2,NA,NA,159,6,NA,NA
"27",2020-04-09,"US_LA_22015",12,1,NA,NA,171,7,NA,NA
"28",2020-04-10,"US_LA_22015",4,0,NA,NA,175,7,NA,NA
"29",2020-04-11,"US_LA_22015",3,2,NA,NA,178,9,NA,NA
"30",2020-04-12,"US_LA_22015",8,0,NA,NA,186,9,NA,NA
"31",2020-04-13,"US_LA_22015",2,1,NA,NA,188,10,NA,NA
"32",2020-04-14,"US_LA_22015",19,0,NA,NA,207,10,NA,NA
"33",2020-04-15,"US_LA_22015",4,1,NA,NA,211,11,NA,NA
"34",2020-04-16,"US_LA_22015",9,0,NA,NA,220,11,NA,NA
"35",2020-04-17,"US_LA_22015",10,0,NA,NA,230,11,NA,NA
"36",2020-04-18,"US_LA_22015",0,0,NA,NA,230,11,NA,NA
"37",2020-04-19,"US_LA_22015",3,0,NA,NA,233,11,NA,NA
"38",2020-04-20,"US_LA_22015",0,0,NA,NA,233,11,NA,NA
"39",2020-04-21,"US_LA_22015",8,0,NA,NA,241,11,NA,NA
"40",2020-04-22,"US_LA_22015",5,1,NA,NA,246,12,NA,NA
"41",2020-04-23,"US_LA_22015",9,0,NA,NA,255,12,NA,NA
"42",2020-04-24,"US_LA_22015",3,0,NA,NA,258,12,NA,NA
"43",2020-04-25,"US_LA_22015",7,0,NA,NA,265,12,NA,NA
"44",2020-04-26,"US_LA_22015",5,1,NA,NA,270,13,NA,NA
"45",2020-04-27,"US_LA_22015",4,0,NA,NA,274,13,NA,NA
"46",2020-04-28,"US_LA_22015",3,1,NA,NA,277,14,NA,NA
"47",2020-04-29,"US_LA_22015",8,1,NA,NA,285,15,NA,NA
"48",2020-04-30,"US_LA_22015",1,2,NA,NA,286,17,NA,NA
"49",2020-05-01,"US_LA_22015",1,0,NA,NA,287,17,NA,NA
"50",2020-05-02,"US_LA_22015",5,0,NA,NA,292,17,NA,NA
"51",2020-05-03,"US_LA_22015",3,0,NA,NA,295,17,NA,NA
"52",2020-05-04,"US_LA_22015",5,0,NA,NA,300,17,NA,NA
"53",2020-05-05,"US_LA_22015",0,0,NA,NA,300,17,NA,NA
"54",2020-05-06,"US_LA_22015",3,1,NA,NA,303,18,NA,NA
"55",2020-05-07,"US_LA_22015",4,0,NA,NA,307,18,NA,NA
"56",2020-05-08,"US_LA_22015",1,1,NA,NA,308,19,NA,NA
"57",2020-05-09,"US_LA_22015",2,1,NA,NA,310,20,NA,NA
"58",2020-05-10,"US_LA_22015",0,0,NA,NA,310,20,NA,NA
"59",2020-05-11,"US_LA_22015",2,1,NA,NA,312,21,NA,NA
"60",2020-05-12,"US_LA_22015",1,1,NA,NA,313,22,NA,NA
"61",2020-05-13,"US_LA_22015",11,0,NA,NA,324,22,NA,NA
"62",2020-05-14,"US_LA_22015",3,0,NA,NA,327,22,NA,NA
"63",2020-05-15,"US_LA_22015",9,1,NA,NA,336,23,NA,NA
"64",2020-05-16,"US_LA_22015",6,0,NA,NA,342,23,NA,NA
"65",2020-05-17,"US_LA_22015",2,0,NA,NA,344,23,NA,NA
"66",2020-05-18,"US_LA_22015",2,1,NA,NA,346,24,NA,NA
"67",2020-05-19,"US_LA_22015",2,0,NA,NA,348,24,NA,NA
"68",2020-05-20,"US_LA_22015",5,0,NA,NA,353,24,NA,NA
"69",2020-05-21,"US_LA_22015",21,0,NA,NA,374,24,NA,NA
"70",2020-05-22,"US_LA_22015",6,1,NA,NA,380,25,NA,NA
"71",2020-05-23,"US_LA_22015",1,0,NA,NA,381,25,NA,NA
"72",2020-05-24,"US_LA_22015",1,0,NA,NA,382,25,NA,NA
"73",2020-05-25,"US_LA_22015",16,0,NA,NA,398,25,NA,NA
