"","t","IN","RN","S","I","R"
"1",0,10,0,41090,10,0
"2",1,3,1,41087,12,1
"3",2,3,3,41084,12,4
"4",3,1,1,41083,12,5
"5",4,2,1,41081,13,6
"6",5,4,2,41077,15,8
"7",6,5,3,41072,17,11
"8",7,2,4,41070,15,15
"9",8,4,3,41066,16,18
"10",9,2,2,41064,16,20
"11",10,4,5,41060,15,25
"12",11,7,3,41053,19,28
"13",12,7,3,41046,23,31
"14",13,6,6,41040,23,37
"15",14,9,3,41031,29,40
"16",15,11,5,41020,35,45
"17",16,10,4,41010,41,49
"18",17,16,10,40994,47,59
"19",18,17,11,40977,53,70
"20",19,15,8,40962,60,78
"21",20,15,11,40947,64,89
"22",21,22,18,40925,68,107
"23",22,20,14,40905,74,121
"24",23,21,14,40884,81,135
"25",24,18,20,40866,79,155
"26",25,24,23,40842,80,178
"27",26,24,16,40818,88,194
"28",27,35,14,40783,109,208
"29",28,28,25,40755,112,233
"30",29,38,22,40717,128,255
"31",30,41,32,40676,137,287
"32",31,54,30,40622,161,317
"33",32,53,27,40569,187,344
"34",33,65,42,40504,210,386
"35",34,66,39,40438,237,425
"36",35,63,44,40375,256,469
"37",36,86,56,40289,286,525
"38",37,79,65,40210,300,590
"39",38,89,54,40121,335,644
"40",39,87,69,40034,353,713
"41",40,116,63,39918,406,776
"42",41,113,76,39805,443,852
"43",42,135,86,39670,492,938
"44",43,134,102,39536,524,1040
"45",44,153,111,39383,566,1151
"46",45,191,100,39192,657,1251
"47",46,182,129,39010,710,1380
"48",47,206,147,38804,769,1527
"49",48,204,133,38600,840,1660
"50",49,234,183,38366,891,1843
"51",50,237,191,38129,937,2034
"52",51,267,228,37862,976,2262
"53",52,289,201,37573,1064,2463
"54",53,288,227,37285,1125,2690
"55",54,325,205,36960,1245,2895
"56",55,349,237,36611,1357,3132
"57",56,380,272,36231,1465,3404
"58",57,407,305,35824,1567,3709
"59",58,435,330,35389,1672,4039
"60",59,421,305,34968,1788,4344
"61",60,430,369,34538,1849,4713
"62",61,490,354,34048,1985,5067
"63",62,485,416,33563,2054,5483
"64",63,491,370,33072,2175,5853
"65",64,523,459,32549,2239,6312
"66",65,591,432,31958,2398,6744
"67",66,575,500,31383,2473,7244
"68",67,526,527,30857,2472,7771
"69",68,601,497,30256,2576,8268
"70",69,596,557,29660,2615,8825
"71",70,625,520,29035,2720,9345
"72",71,578,534,28457,2764,9879
"73",72,579,565,27878,2778,10444
"74",73,558,500,27320,2836,10944
"75",74,559,538,26761,2857,11482
"76",75,563,576,26198,2844,12058
"77",76,610,553,25588,2901,12611
"78",77,531,585,25057,2847,13196
"79",78,501,573,24556,2775,13769
"80",79,465,572,24091,2668,14341
"81",80,443,558,23648,2553,14899
"82",81,428,555,23220,2426,15454
"83",82,419,483,22801,2362,15937
"84",83,403,481,22398,2284,16418
"85",84,385,427,22013,2242,16845
"86",85,353,492,21660,2103,17337
"87",86,326,419,21334,2010,17756
"88",87,304,404,21030,1910,18160
"89",88,310,368,20720,1852,18528
"90",89,281,355,20439,1778,18883
"91",90,237,367,20202,1648,19250
"92",91,247,353,19955,1542,19603
"93",92,231,320,19724,1453,19923
"94",93,204,272,19520,1385,20195
"95",94,204,280,19316,1309,20475
"96",95,157,240,19159,1226,20715
"97",96,175,262,18984,1139,20977
"98",97,179,281,18805,1037,21258
"99",98,147,187,18658,997,21445
"100",99,130,192,18528,935,21637
"101",100,122,171,18406,886,21808
"102",101,115,166,18291,835,21974
"103",102,112,188,18179,759,22162
"104",103,106,168,18073,697,22330
"105",104,89,135,17984,651,22465
"106",105,85,134,17899,602,22599
"107",106,85,111,17814,576,22710
"108",107,79,111,17735,544,22821
"109",108,83,116,17652,511,22937
"110",109,72,106,17580,477,23043
"111",110,65,94,17515,448,23137
"112",111,57,86,17458,419,23223
"113",112,49,93,17409,375,23316
"114",113,54,62,17355,367,23378
"115",114,37,82,17318,322,23460
"116",115,36,76,17282,282,23536
"117",116,36,59,17246,259,23595
"118",117,44,73,17202,230,23668
"119",118,30,47,17172,213,23715
"120",119,45,54,17127,204,23769
"121",120,29,45,17098,188,23814
"122",121,11,35,17087,164,23849
"123",122,19,16,17068,167,23865
"124",123,31,42,17037,156,23907
"125",124,16,28,17021,144,23935
"126",125,27,30,16994,141,23965
"127",126,17,22,16977,136,23987
"128",127,8,20,16969,124,24007
"129",128,12,26,16957,110,24033
"130",129,18,22,16939,106,24055
"131",130,15,17,16924,104,24072
"132",131,19,27,16905,96,24099
"133",132,15,16,16890,95,24115
"134",133,10,24,16880,81,24139
"135",134,15,18,16865,78,24157
"136",135,10,13,16855,75,24170
"137",136,6,15,16849,66,24185
"138",137,9,16,16840,59,24201
"139",138,8,14,16832,53,24215
"140",139,3,13,16829,43,24228
"141",140,5,10,16824,38,24238
"142",141,4,11,16820,31,24249
"143",142,2,13,16818,20,24262
"144",143,2,4,16816,18,24266
"145",144,1,3,16815,16,24269
"146",145,3,7,16812,12,24276
"147",146,2,5,16810,9,24281
"148",147,2,0,16808,11,24281
"149",148,4,7,16804,8,24288
"150",149,1,2,16803,7,24290
"151",150,4,3,16799,8,24293
"152",151,0,3,16799,5,24296
"153",152,0,2,16799,3,24298
"154",153,0,3,16799,0,24301
